city|state-code|state|country-code
Kittery|ME|Maine|US
Orlando|FL|Florida|US
Florence|AL|Alabama|US
Townsville|QLD|Queensland|AU
Springfield|OR|Oregon|US
Vero Beach|FL|Florida|US
Vacaville|CA|California|US
Essen|HH|Hamburg|DE
Westminster|BC|British Columbia|CA
Saginaw|MI|Michigan|US
New Hartford|NY|New York|US
Redford|MI|Michigan|US
Kennewick|WA|Washington|US
Brampton|ON|Ontario|CA
Novato|CA|California|US
Erlangen|BY|Bayern|DE
Mill Valley|CA|California|US
Versailles|78|Yveline|FR
Rock Springs|WY|Wyoming|US
Saint Ouen|41|Loir et Cher|FR
Johnson Creek|WI|Wisconsin|US
Saugus|MA|Massachusetts|US
Milwaukee|WI|Wisconsin|US
Salem|OR|Oregon|US
Pigeon Forge|TN|Tennessee|US
Kannapolis|NC|North Carolina|US
Kiel|SL|Saarland|DE
Pnot-Rouge|QC|Quebec|CA
Coronado|CA|California|US
Frankfurt am Main|SL|Saarland|DE
Markham|ON|Ontario|CA
Charlotte|NC|North Carolina|US
West Sussex|ENG|England|GB
Clay|NY|New York|US
Metchosin|BC|British Columbia|CA
Portland|OR|Oregon|US
Colombes|92|Hauts de Seine|FR
Waterbury|CT|Connecticut|US
Campbellsville|KY|Kentucky|US
Norridge|IL|Illinois|US
Lane Cove|NSW|New South Wales|AU
Boise|ID|Idaho|US
Englewood|CO|Colorado|US
Orleans|45|Loiret|FR
Leesburg|VA|Virginia|US
Woolston|ENG|England|GB
Kelso|WA|Washington|US
Holland|MI|Michigan|US
Santa Fe|NM|New Mexico|US
Detroit|MI|Michigan|US
Roissy en Brie|77|Seine et Marne|FR
Garland|TX|Texas|US
Austell|GA|Georgia|US
Berlin|HE|Hessen|DE
Branson|MO|Missouri|US
College Station|TX|Texas|US
Fort Worth|TX|Texas|US
Maidenhead|ENG|England|GB
Eilenburg|BB|Brandenburg|DE
Leeds|ENG|England|GB
Suwanee|GA|Georgia|US
York|ENG|England|GB
Fullerton|CA|California|US
Nepean|ON|Ontario|CA
Tilton|NH|New Hampshire|US
Edmonds|WA|Washington|US
Daleville|IN|Indiana|US
Index|WA|Washington|US
Corpus Christi|TX|Texas|US
Beaverton|OR|Oregon|US
Heath|OH|Ohio|US
South Bend|IN|Indiana|US
Seattle|WA|Washington|US
Hof|BY|Bayern|DE
Paris|75|Seine (Paris)|FR
Paderborn|NW|Nordrhein-Westfalen|DE
Everett|MT|Montana|US
Sparks|NV|Nevada|US
San Ramon|CA|California|US
Mill Valley|MT|Montana|US
Frankfurt am Main|HH|Hamburg|DE
Saint John|NB|Brunswick|CA
Fremont|CA|California|US
Bellevue|WA|Washington|US
Newcastle upon Tyne|ENG|England|GB
London|ENG|England|GB
Camarillo|CA|California|US
Canoga Park|CA|California|US
Issaquah|WA|Washington|US
Norwood|MA|Massachusetts|US
Mill Valley|NE|Nebraska|US
Boulogne-Billancourt|92|Hauts de Seine|FR
München|HH|Hamburg|DE
Cranbourne|VIC|Victoria|AU
Tremblay-en-France|93|Seine Saint Denis|FR
Findon|SA|South Australia|AU
La Jolla|CA|California|US
Crossville|TN|Tennessee|US
Redwood City|CA|California|US
Fort Wayne|IN|Indiana|US
Marysville|WA|Washington|US
Frankfurt|HE|Hessen|DE
Augusta|GA|Georgia|US
Washougal|WA|Washington|US
Ogden|UT|Utah|US
Duvall|WA|Washington|US
Mosinee|WI|Wisconsin|US
National City|CA|California|US
Novi|MI|Michigan|US
Winnipeg|MB|Manitoba|CA
Sulzbach Taunus|SL|Saarland|DE
South Melbourne|VIC|Victoria|AU
Chicago|IL|Illinois|US
Saint Ouen|17|Charente-Maritime|FR
Runcorn|ENG|England|GB
Whittier|CA|California|US
Cheltenham|ENG|England|GB
Barstow|CA|California|US
La Marque|TX|Texas|US
Roubaix|59|Nord|FR
Stamford|CT|Connecticut|US
Tupelo|MS|Mississippi|US
Chehalis|WA|Washington|US
Trabuco Canyon|CA|California|US
Roncq|59|Nord|FR
Sillery|QC|Quebec|CA
Olympia|WA|Washington|US
Villeneuve-d'Ascq|59|Nord|FR
Paderborn|HH|Hamburg|DE
Kirkby|ENG|England|GB
Solingen|NW|Nordrhein-Westfalen|DE
El Cajon|CA|California|US
La Mesa|CA|California|US
Ballard|WA|Washington|US
Hamburg|HH|Hamburg|DE
Lavender Bay|NSW|New South Wales|AU
Lemon Grove|CA|California|US
Brossard|QC|Quebec|CA
West Covina|ID|Idaho|US
Cerritos|CA|California|US
Stockton|CA|California|US
Alpine|CA|California|US
Birmingham|ENG|England|GB
Midland|MI|Michigan|US
Montreal|QC|Quebec|CA
Port Huron|MI|Michigan|US
Las Vegas|NV|Nevada|US
Salzgitter|HE|Hessen|DE
Bothell|WA|Washington|US
Kingston|ON|Ontario|CA
Lewiston|ID|Idaho|US
Stuttgart|SL|Saarland|DE
W. Linn|OR|Oregon|US
Redmond|WA|Washington|US
Milpitas|CA|California|US
Howell|MI|Michigan|US
Corvallis|OR|Oregon|US
Ascheim|HH|Hamburg|DE
Bellingham|WA|Washington|US
Kansas City|MO|Missouri|US
Ellensburg|WA|Washington|US
Holland|OH|Ohio|US
Everett|WA|Washington|US
Saint Ouen|80|Somme|FR
Coffs Harbour|NSW|New South Wales|AU
Mentor|OH|Ohio|US
El Segundo|CA|California|US
Orly|94|Val de Marne|FR
Wood Dale|IL|Illinois|US
Gateshead|ENG|England|GB
Milwaukie|OR|Oregon|US
Matraville|NSW|New South Wales|AU
Nashua|NH|New Hampshire|US
Union City|CA|California|US
Randolph|MA|Massachusetts|US
Hanford|CA|California|US
Elgin|IL|Illinois|US
Kassel|HE|Hessen|DE
Federal Way|WA|Washington|US
Santa Monica|CA|California|US
Peoria|IL|Illinois|US
Silverwater|NSW|New South Wales|AU
Virginia Beach|VA|Virginia|US
North Las Vegas|NV|Nevada|US
City Of Commerce|CA|California|US
Snohomish|WA|Washington|US
Imperial Beach|CA|California|US
Santa Cruz|CA|California|US
Los Angeles|CA|California|US
Tacoma|WA|Washington|US
Kanata|ON|Ontario|CA
Morangis|91|Essonne|FR
Carnation|WA|Washington|US
West Kingston|RI|Rhode Island|US
Vancouver|BC|British Columbia|CA
Lynnwood|WA|Washington|US
Burlingame|CA|California|US
Oberlin|OH|Ohio|US
Clearwater|FL|Florida|US
Scarborough|ON|Ontario|CA
Hannover|NW|Nordrhein-Westfalen|DE
Courbevoie|92|Hauts de Seine|FR
Colma|CA|California|US
Reading|ENG|England|GB
Dallas|TX|Texas|US
North Sydney|NSW|New South Wales|AU
Melbourne|VIC|Victoria|AU
Irvine|CA|California|US
Long Beach|CA|California|US
Newport Beach|CA|California|US
Shelton|WA|Washington|US
Esher-Molesey|ENG|England|GB
Peterborough|ENG|England|GB
St. Louis|MO|Missouri|US
Birmingham|AL|Alabama|US
Saint Matthews|KY|Kentucky|US
Duesseldorf|HE|Hessen|DE
Chalk Riber|ON|Ontario|CA
Visalia|CA|California|US
Houston|TX|Texas|US
Winston-Salem|NC|North Carolina|US
Port Orchard|WA|Washington|US
Lake Elsinore|CA|California|US
Newport|KY|Kentucky|US
Bonn|NW|Nordrhein-Westfalen|DE
Scottsdale|AZ|Arizona|US
Eureka|CA|California|US
Royal Oak|BC|British Columbia|CA
Surprise|AZ|Arizona|US
Weston|ON|Ontario|CA
Oxford|ENG|England|GB
Westland|MI|Michigan|US
Braunschweig|NW|Nordrhein-Westfalen|DE
Sarasota|FL|Florida|US
Tigard|OR|Oregon|US
Millington|TN|Tennessee|US
Mühlheim|HH|Hamburg|DE
Gold Bar|WA|Washington|US
Auburn|CA|California|US
Lakeland|FL|Florida|US
Bradenton|FL|Florida|US
Mcdonough|GA|Georgia|US
Lake Oswego|OR|Oregon|US
Ferguson|MO|Missouri|US
Warwick|RI|Rhode Island|US
Newport Hills|WA|Washington|US
Norwalk|CA|California|US
Laredo|TX|Texas|US
Glendale|CA|California|US
Waterloo|ON|Ontario|CA
Leipzig|NW|Nordrhein-Westfalen|DE
San Gabriel|CA|California|US
Berks|ENG|England|GB
Newport News|VA|Virginia|US
Jefferson City|MO|Missouri|US
Hawthorne|QLD|Queensland|AU
N. Vancouver|BC|British Columbia|CA
Chatou|78|Yveline|FR
Bad Soden|HE|Hessen|DE
Bury|ENG|England|GB
Vista|CA|California|US
La Vergne|TN|Tennessee|US
Calgary|AB|Alberta|CA
Colomiers|31|Garonne (Haute)|FR
Cliffside|BC|British Columbia|CA
Melton|VIC|Victoria|AU
La Mesa|NM|New Mexico|US
North Sioux City|SD|South Dakota|US
Raleigh|NC|North Carolina|US
Hollywood|FL|Florida|US
Atlanta|GA|Georgia|US
Mesa|AZ|Arizona|US
Hooksett|NH|New Hampshire|US
Bluffton|SC|South Carolina|US
Lemon Grove|AZ|Arizona|US
Lieusaint|77|Seine et Marne|FR
Denver|CO|Colorado|US
Hillsboro|OR|Oregon|US
East Brisbane|QLD|Queensland|AU
Bobigny|93|Seine Saint Denis|FR
Hixson|TN|Tennessee|US
Memphis|TN|Tennessee|US
New Castle|IN|Indiana|US
San Mateo|CA|California|US
Braintree|MA|Massachusetts|US
Farmington|CT|Connecticut|US
San Carlos|CA|California|US
Salt Lake City|UT|Utah|US
Casper|WY|Wyoming|US
Citrus Heights|CA|California|US
Killeen|TX|Texas|US
Gilroy|CA|California|US
Endicott|NY|New York|US
Wollongong|NSW|New South Wales|AU
Woodinville|WA|Washington|US
San Francisco|CA|California|US
Renton|WA|Washington|US
Sedro Woolley|WA|Washington|US
Milton Keynes|ENG|England|GB
Springdale|OH|Ohio|US
Newcastle|NSW|New South Wales|AU
San Diego|CA|California|US
Madison Heights|MI|Michigan|US
North Ryde|NSW|New South Wales|AU
Paris La Defense|92|Hauts de Seine|FR
W. York|ENG|England|GB
Sequim|WA|Washington|US
Florence|KY|Kentucky|US
Ithaca|NY|New York|US
Ottawa|ON|Ontario|CA
Greeley|CO|Colorado|US
Beverly Hills|CA|California|US
Puyallup|WA|Washington|US
Stafford|TX|Texas|US
Pantin|93|Seine Saint Denis|FR
Etobicoke|ON|Ontario|CA
Bracknell|ENG|England|GB
Carol Stream|IL|Illinois|US
Frankfurt|BY|Bayern|DE
Valley Stream|NY|New York|US
Richmond|BC|British Columbia|CA
Great Falls|MT|Montana|US
North Randall|OH|Ohio|US
Quebec|QC|Quebec|CA
Kingsport|TN|Tennessee|US
Augsburg|HH|Hamburg|DE
Michigan City|IN|Indiana|US
Malabar|NSW|New South Wales|AU
Lebanon|OR|Oregon|US
Longmont|CO|Colorado|US
Somerset|KY|Kentucky|US
Phoenix|AZ|Arizona|US
Nashville|TN|Tennessee|US
Philadelphia|PA|Pennsylvania|US
Berkshire|ENG|England|GB
Parker|CO|Colorado|US
Cergy|95|Val d'Oise|FR
Tampa|FL|Florida|US
Troutdale|OR|Oregon|US
Union Gap|WA|Washington|US
Alexandria|NSW|New South Wales|AU
Hamburg|HE|Hessen|DE
Oregon City|OR|Oregon|US
Boulogne-sur-Mer|62|Pas de Calais|FR
Monroe|WA|Washington|US
Cheektowaga|NY|New York|US
Santa Ana|CA|California|US
Racine|WI|Wisconsin|US
Lancaster|ENG|England|GB
Columbus|OH|Ohio|US
Werne|NW|Nordrhein-Westfalen|DE
Lacey|WA|Washington|US
Orange|CA|California|US
Lakewood|CA|California|US
Berlin|HH|Hamburg|DE
Upland|CA|California|US
Southgate|MI|Michigan|US
Kirkland|WA|Washington|US
Moline|IL|Illinois|US
Kendall|FL|Florida|US
Dresden|HE|Hessen|DE
Burnaby|BC|British Columbia|CA
Denby|SD|South Dakota|US
Joliet|IL|Illinois|US
Culver City|CA|California|US
Brisbane|QLD|Queensland|AU
Sherman Oaks|CA|California|US
Berkeley|CA|California|US
München|NW|Nordrhein-Westfalen|DE
Monroe|MI|Michigan|US
Port Hammond|BC|British Columbia|CA
Wokingham|ENG|England|GB
Arlington|TX|Texas|US
Basingstoke Hants|ENG|England|GB
Port Macquarie|NSW|New South Wales|AU
Ontario|CA|California|US
Sacramento|CA|California|US
Münster|SL|Saarland|DE
Baltimore|MD|Maryland|US
Bell Gardens|CA|California|US
Hamden|CT|Connecticut|US
Lille|59|Nord|FR
Barrie|ON|Ontario|CA
Albany|NY|New York|US
Oxnard|CA|California|US
Oxon|ENG|England|GB
Sydney|NSW|New South Wales|AU
Fontana|CA|California|US
Caloundra|QLD|Queensland|AU
Westminster|CO|Colorado|US
Lakewood|MO|Missouri|US
Wenatchee|WA|Washington|US
Biloxi|MS|Mississippi|US
Saint Louis|MO|Missouri|US
Berlin|NW|Nordrhein-Westfalen|DE
Rockhampton|QLD|Queensland|AU
Medford|OR|Oregon|US
Albany|OR|Oregon|US
Clackamas|OR|Oregon|US
Rio Rancho|NM|New Mexico|US
Aurora|ON|Ontario|CA
Westport|CT|Connecticut|US
Marietta|GA|Georgia|US
Watford|ENG|England|GB
Altadena|CA|California|US
Shawnee|BC|British Columbia|CA
Bendigo|VIC|Victoria|AU
Woodburn|OR|Oregon|US
Outremont|QC|Quebec|CA
Cincinnati|OH|Ohio|US
Richmond|CA|California|US
Cloverdale|SA|South Australia|AU
Gaffney|SC|South Carolina|US
Las Cruces|NM|New Mexico|US
Stoke-on-Trent|ENG|England|GB
Mississauga|ON|Ontario|CA
Baytown|TX|Texas|US
West Chicago|IL|Illinois|US
Walla Walla|WA|Washington|US
Newark|CA|California|US
Bottrop|NW|Nordrhein-Westfalen|DE
W. Linn|NV|Nevada|US
Abingdon|ENG|England|GB
Concord|CA|California|US
Milsons Point|NSW|New South Wales|AU
Boston|MA|Massachusetts|US
Bonn|HH|Hamburg|DE
North Miami Beach|FL|Florida|US
Geelong|VIC|Victoria|AU
St. Leonards|NSW|New South Wales|AU
Gloucestershire|ENG|England|GB
De Witt|NY|New York|US
Euclid|OH|Ohio|US
Carrollton|TX|Texas|US
La Grange|GA|Georgia|US
Smithfield|NC|North Carolina|US
Minneapolis|MN|Minnesota|US
Loveland|CO|Colorado|US
Bordeaux|33|Gironde|FR
Metz|57|Moselle|FR
Hobart|TAS|Tasmania|AU
Richmond Hill|ON|Ontario|CA
Chantilly|VA|Virginia|US
Seaford|VIC|Victoria|AU
Modesto|CA|California|US
Newton|BC|British Columbia|CA
Idaho Falls|ID|Idaho|US
Falls Church|VA|Virginia|US
Saint Ann|MO|Missouri|US
Bremerton|WA|Washington|US
Darlinghurst|NSW|New South Wales|AU
Toronto|ON|Ontario|CA
München|SL|Saarland|DE
Drancy|93|Seine Saint Denis|FR
Carson|CA|California|US
Duluth|MN|Minnesota|US
Saint Germain en Laye|78|Yveline|FR
Grossmont|CA|California|US
Offenbach|SL|Saarland|DE
Bellflower|CA|California|US
Longview|WA|Washington|US
Perth|SA|South Australia|AU
Columbus|GA|Georgia|US
Montgomery|AL|Alabama|US
Downey|TN|Tennessee|US
Plano|TX|Texas|US
Redlands|CA|California|US
Monrovia|CA|California|US
Hervey Bay|QLD|Queensland|AU
Mesquite|TX|Texas|US
Ville De'anjou|QC|Quebec|CA
Plaistow|NH|New Hampshire|US
Cambridge|ENG|England|GB
Pleasanton|CA|California|US
Novato|WY|Wyoming|US
High Wycombe|ENG|England|GB
Sooke|BC|British Columbia|CA
Van Nuys|CA|California|US
Sèvres|92|Hauts de Seine|FR
Rocky Mount|NC|North Carolina|US
Round Rock|TX|Texas|US
Riverton|UT|Utah|US
Billings|MT|Montana|US
Hayward|CA|California|US
Saarlouis|SL|Saarland|DE
Augsburg|BY|Bayern|DE
Oak Bay|BC|British Columbia|CA
Yakima|WA|Washington|US
Walnut Creek|CA|California|US
Wrentham|MA|Massachusetts|US
Lincoln Acres|CA|California|US
Southfield|MI|Michigan|US
Dorval|QC|Quebec|CA
Greensboro|NC|North Carolina|US
Torrance|CA|California|US
Sand City|CA|California|US
Logansport|IN|Indiana|US
Mansfield|OH|Ohio|US
Mobile|AL|Alabama|US
Haney|BC|British Columbia|CA
Reno|NV|Nevada|US
Sandy|UT|Utah|US
Branch|MN|Minnesota|US
Daly City|CA|California|US
Decatur|GA|Georgia|US
Merritt Island|FL|Florida|US
Pontiac|MI|Michigan|US
San Jose|CA|California|US
North Bend|WA|Washington|US
Tuscola|IL|Illinois|US
Alhambra|CA|California|US
Central Valley|NY|New York|US
Woodland Hills|CA|California|US
Cambridge|MA|Massachusetts|US
Kent|WA|Washington|US
Hull|QC|Quebec|CA
Berlin|BB|Brandenburg|DE
Woonsocket|RI|Rhode Island|US
München|HE|Hessen|DE
Surrey|BC|British Columbia|CA
Escondido|CA|California|US
Goulburn|NSW|New South Wales|AU
Chula Vista|CA|California|US
Gulfport|MS|Mississippi|US
Sunrise|FL|Florida|US
Woodbury|MN|Minnesota|US
Sunbury|VIC|Victoria|AU
Simi Valley|CA|California|US
Langley|BC|British Columbia|CA
Oakland|CA|California|US
Edmonton|AB|Alberta|CA
Savannah|GA|Georgia|US
Altamonte Springs|FL|Florida|US
Suresnes|92|Hauts de Seine|FR
Myrtle Beach|SC|South Carolina|US
Langford|BC|British Columbia|CA
North York|ON|Ontario|CA
Burien|WA|Washington|US
Tucson|AZ|Arizona|US
New Haven|CT|Connecticut|US
Gold Coast|QLD|Queensland|AU
Miami|FL|Florida|US
Vancouver|ON|Ontario|CA
Dunkerque|59|Nord|FR
Muehlheim|HH|Hamburg|DE
Burbank|OH|Ohio|US
Milford|CT|Connecticut|US
San Bruno|CA|California|US
Cheyenne|WY|Wyoming|US
Ingolstadt|BY|Bayern|DE
Missoula|MT|Montana|US
Warrnambool|VIC|Victoria|AU
East Haven|CT|Connecticut|US
Chandler|AZ|Arizona|US
Grevenbroich|BY|Bayern|DE
West Covina|CA|California|US
Kenmore|WA|Washington|US
Spring Valley|CA|California|US
Park City|UT|Utah|US
Austin|TX|Texas|US
Indianapolis|IN|Indiana|US
Saarbrücken|SL|Saarland|DE
Croix|59|Nord|FR
Medford|MN|Minnesota|US
Billericay|ENG|England|GB
Hillsboro|TX|Texas|US
Cedar City|UT|Utah|US
Sainte-Foy|QC|Quebec|CA
Neunkirchen|SL|Saarland|DE
Verrieres Le Buisson|91|Essonne|FR
Byron|GA|Georgia|US
Downey|CA|California|US
Humble|TX|Texas|US
Burbank|CA|California|US
Aujan Mournede|32|Gers|FR
Lake George|NY|New York|US
Liverpool|ENG|England|GB
Springwood|NSW|New South Wales|AU
Darmstadt|HE|Hessen|DE
Rhodes|NSW|New South Wales|AU
Klamath Falls|OR|Oregon|US
Gilbert|AZ|Arizona|US
Berlin|SL|Saarland|DE
Sandpoint|ID|Idaho|US
Les Ulis|91|Essonne|FR
Huntsville|AL|Alabama|US
Bountiful|UT|Utah|US
Zeeland|MI|Michigan|US
Tooele|UT|Utah|US
Warrington|ENG|England|GB
Anacortes|WA|Washington|US
Palo Alto|CA|California|US
San Antonio|TX|Texas|US
Baldwin Park|CA|California|US
Fernley|NV|Nevada|US
Edina|MN|Minnesota|US
Saint-Denis|93|Seine Saint Denis|FR
Poing|SL|Saarland|DE
Sammamish|WA|Washington|US
Cedar Park|TX|Texas|US
Maryville|TN|Tennessee|US
Destin|FL|Florida|US
New York|NY|New York|US
Irving|TX|Texas|US
Melville|NY|New York|US
Nevada|UT|Utah|US
Clarkston|GA|Georgia|US
Elk Grove|CA|California|US
Sugar Land|TX|Texas|US
San Ysidro|CA|California|US
Victoria|BC|British Columbia|CA
Spokane|WA|Washington|US
Odessa|MO|Missouri|US